model,ref_mean,model_mean,p_value,significant
unet,0.2411,0.3056,0.0,1
unet_smp,0.2411,0.2909,0.0022,1
mobilenet_unet_lr2e4,0.2411,0.2721,0.0288,1
unetpp,0.2411,0.2641,0.1058,0
mobilenet_unet_lr5e5,0.2411,0.2624,0.0662,0
spiking_unet_T5,0.2411,0.2607,0.0321,1
mobilenet_int8,0.2411,0.2578,0.2535,0
spiking_unet_T7,0.2411,0.2511,0.0021,1
segformer_b2,0.2411,0.2509,0.775,0
spiking_unet_T8_lr2e4,0.2411,0.2501,0.428,0
mobilenet_unet,0.2411,0.2495,0.2479,0
spiking_unet_T6,0.2411,0.246,0.5537,0
spiking_unet_T8,0.2411,0.2459,0.868,0
spiking_unet_T2_lr2e4,0.2411,0.2447,0.9523,0
spiking_unet_T2,0.2411,0.2398,0.9947,0
spiking_unet_T3,0.2411,0.2288,0.0125,1
spiking_unet_lr2e4,0.2411,0.2247,0.0165,1
spiking_unet_T10,0.2411,0.205,0.0002,1
ann2snn_T128,0.2411,0.1958,0.0079,1
spiking_unet_lr5e5,0.2411,0.1841,0.0,1
spiking_unet_T1,0.2411,0.1388,0.0,1
ann2snn_T64,0.2411,0.1327,0.0,1
deeplabv3,0.2411,0.1265,0.0,1
ann2snn_T32,0.2411,0.0281,0.0,1
