model,Bolivia,Ghana,India,Mekong,Nigeria,Pakistan,Paraguay,Somalia,Spain,Sri-Lanka,USA,MEAN
unet,0.0412,0.4165,0.2665,0.4839,0.3559,0.2902,0.2475,0.3028,0.3035,0.2425,0.3053,0.296
unet_smp,0.0454,0.3884,0.2257,0.5054,0.3435,0.3058,0.2358,0.339,0.1955,0.266,0.2871,0.2852
mobilenet_unet_lr2e4,0.0202,0.3667,0.256,0.4923,0.3725,0.3233,0.2054,0.304,0.2379,0.1521,0.2437,0.2704
unetpp,0.0334,0.3949,0.2144,0.485,0.3727,0.306,0.1952,0.2891,0.1736,0.1524,0.269,0.2623
mobilenet_unet_lr5e5,0.043,0.398,0.2367,0.4945,0.414,0.2511,0.1913,0.2896,0.2172,0.1477,0.2233,0.2642
spiking_unet_T5,0.0417,0.3993,0.2279,0.3452,0.28,0.2513,0.2172,0.2829,0.2196,0.3017,0.2347,0.2547
mobilenet_int8,0.012,0.3499,0.2376,0.4787,0.3221,0.293,0.2017,0.3083,0.2346,0.1533,0.2195,0.2555
spiking_unet_T7,0.0427,0.3247,0.1989,0.3479,0.2744,0.276,0.1879,0.26,0.2467,0.2786,0.2628,0.2455
segformer_b2,0.0216,0.4189,0.1849,0.4736,0.369,0.4106,0.1636,0.3308,0.2109,0.1415,0.1935,0.2654
spiking_unet_T8_lr2e4,0.0404,0.3423,0.2075,0.3345,0.2529,0.2909,0.1787,0.2537,0.2294,0.271,0.2734,0.2432
mobilenet_unet,0.0231,0.3156,0.2568,0.4529,0.3479,0.2728,0.1548,0.2795,0.2261,0.1344,0.2449,0.2463
spiking_unet_T6,0.0386,0.3211,0.1814,0.34,0.2394,0.2837,0.1793,0.2356,0.262,0.2391,0.2936,0.2376
spiking_unet_T8,0.0412,0.3265,0.1884,0.3684,0.2367,0.3161,0.1442,0.2445,0.2484,0.256,0.2829,0.2412
spiking_unet_T2_lr2e4,0.0451,0.3493,0.2052,0.333,0.2334,0.3209,0.1656,0.2502,0.2166,0.2218,0.2844,0.2387
spiking_unet_T4,0.04,0.3469,0.196,0.3194,0.2514,0.2647,0.1735,0.2513,0.223,0.2735,0.2532,0.2357
spiking_unet_T2,0.035,0.3105,0.1674,0.364,0.2557,0.3247,0.1515,0.2337,0.263,0.1895,0.2975,0.2357
spiking_unet_T3,0.0422,0.3229,0.1824,0.3092,0.2151,0.2851,0.1569,0.2367,0.2024,0.2253,0.2697,0.2225
spiking_unet_lr2e4,0.0376,0.2923,0.1861,0.2986,0.1974,0.2826,0.1402,0.2389,0.2287,0.2167,0.2758,0.2177
spiking_unet_T10,0.0259,0.2655,0.1782,0.3393,0.2665,0.2336,0.1392,0.2019,0.1838,0.205,0.1915,0.2028
ann2snn_T128,0.0395,0.2926,0.1421,0.3715,0.2013,0.1287,0.1583,0.2478,0.1509,0.1791,0.1858,0.1907
spiking_unet_lr5e5,0.0303,0.2363,0.157,0.2772,0.2688,0.1915,0.1187,0.2023,0.1555,0.2008,0.1807,0.1836
spiking_unet_T1,0.0223,0.1534,0.117,0.2682,0.2039,0.2687,0.0773,0.1394,0.1115,0.0589,0.1484,0.1426
ann2snn_T64,0.0345,0.1639,0.0663,0.2187,0.0996,0.1318,0.113,0.106,0.1508,0.0632,0.2073,0.1232
deeplabv3,0.0061,0.2696,0.1039,0.3496,0.3049,0.183,0.0107,0.2344,0.0748,0.0385,0.0481,0.1476
ann2snn_T32,0.0288,0.0524,0.0112,0.0396,0.0201,0.0242,0.0199,0.007,0.0533,0.0003,0.0468,0.0276
